"Date","Status","Home","","Away"
"3/4/2026","3pm","Birmingham City","v","Blackburn Rovers"
"3/4/2026","3pm","Charlton Athletic","v","Bristol City"
"3/4/2026","3pm","Coventry City","v","Derby County"
"3/4/2026","3pm","Leicester City","v","Preston North End"
"3/4/2026","3pm","Middlesbrough","v","Millwall"
"3/4/2026","3pm","Norwich City","v","Portsmouth"
"3/4/2026","3pm","Oxford United","v","Hull City"
"3/4/2026","3pm","Queens Park Rangers","v","Watford"
"3/4/2026","3pm","Sheffield United","v","Swansea City"
"3/4/2026","3pm","Southampton","v","Ipswich Town"
"3/4/2026","3pm","Stoke City","v","Sheffield Wednesday"
"3/4/2026","3pm","West Bromwich Albion","v","Wrexham"
"6/4/2026","3pm","Blackburn Rovers","v","West Bromwich Albion"
"6/4/2026","3pm","Bristol City","v","Sheffield United"
"6/4/2026","3pm","Derby County","v","Stoke City"
"6/4/2026","3pm","Hull City","v","Coventry City"
"6/4/2026","3pm","Ipswich Town","v","Birmingham City"
"6/4/2026","1pm","Millwall","v","Norwich City"
"6/4/2026","3pm","Portsmouth","v","Oxford United"
"6/4/2026","3pm","Preston North End","v","Queens Park Rangers"
"6/4/2026","3pm","Sheffield Wednesday","v","Leicester City"
"6/4/2026","3pm","Swansea City","v","Middlesbrough"
"6/4/2026","3pm","Watford","v","Charlton Athletic"
"6/4/2026","3pm","Wrexham","v","Southampton"
"11/4/2026","3pm","Birmingham City","v","Wrexham"
"11/4/2026","3pm","Charlton Athletic","v","Preston North End"
"11/4/2026","3pm","Coventry City","v","Sheffield Wednesday"
"11/4/2026","3pm","Leicester City","v","Swansea City"
"11/4/2026","3pm","Middlesbrough","v","Portsmouth"
"11/4/2026","12.30pm","Norwich City","v","Ipswich Town"
"11/4/2026","3pm","Oxford United","v","Watford"
"11/4/2026","3pm","Queens Park Rangers","v","Bristol City"
"11/4/2026","3pm","Sheffield United","v","Hull City"
"11/4/2026","3pm","Southampton","v","Derby County"
"11/4/2026","3pm","Stoke City","v","Blackburn Rovers"
"11/4/2026","3pm","West Bromwich Albion","v","Millwall"
"18/4/2026","3pm","Blackburn Rovers","v","Coventry City"
"18/4/2026","3pm","Bristol City","v","Norwich City"
"18/4/2026","3pm","Derby County","v","Oxford United"
"18/4/2026","3pm","Hull City","v","Birmingham City"
"18/4/2026","3pm","Ipswich Town","v","Middlesbrough"
"18/4/2026","3pm","Millwall","v","Queens Park Rangers"
"18/4/2026","3pm","Portsmouth","v","Leicester City"
"18/4/2026","3pm","Preston North End","v","West Bromwich Albion"
"18/4/2026","3pm","Sheffield Wednesday","v","Charlton Athletic"
"18/4/2026","3pm","Swansea City","v","Southampton"
"18/4/2026","3pm","Watford","v","Sheffield United"
"18/4/2026","3pm","Wrexham","v","Stoke City"
"21/4/2026","7.45pm","Coventry City","v","Portsmouth"
"21/4/2026","7.45pm","Middlesbrough","v","Sheffield Wednesday"
"21/4/2026","7.45pm","Norwich City","v","Derby County"
"21/4/2026","7.45pm","Oxford United","v","Wrexham"
"21/4/2026","7.45pm","Queens Park Rangers","v","Swansea City"
"21/4/2026","7.45pm","Southampton","v","Bristol City"
"21/4/2026","7.45pm","Stoke City","v","Millwall"
"21/4/2026","7.45pm","West Bromwich Albion","v","Watford"
"22/4/2026","7.45pm","Birmingham City","v","Preston North End"
"22/4/2026","7.45pm","Charlton Athletic","v","Ipswich Town"
"22/4/2026","7.45pm","Leicester City","v","Hull City"
"22/4/2026","7.45pm","Sheffield United","v","Blackburn Rovers"
"25/4/2026","3pm","Birmingham City","v","Bristol City"
"25/4/2026","3pm","Charlton Athletic","v","Hull City"
"25/4/2026","3pm","Coventry City","v","Wrexham"
"25/4/2026","3pm","Leicester City","v","Millwall"
"25/4/2026","3pm","Middlesbrough","v","Watford"
"25/4/2026","3pm","Norwich City","v","Swansea City"
"25/4/2026","3pm","Oxford United","v","Sheffield Wednesday"
"25/4/2026","3pm","Queens Park Rangers","v","Derby County"
"25/4/2026","3pm","Sheffield United","v","Preston North End"
"25/4/2026","3pm","Southampton","v","Blackburn Rovers"
"25/4/2026","3pm","Stoke City","v","Portsmouth"
"25/4/2026","3pm","West Bromwich Albion","v","Ipswich Town"
