"Date","Status","Home","","Away"
"3/2/2026","7.45pm","Blackburn Rovers","v","Sheffield Wednesday"
"3/2/2026","7.45pm","Hull City","v","Watford"
"3/2/2026","7.45pm","Portsmouth","v","Ipswich Town"
"3/2/2026","7.45pm","Sheffield United","v","Oxford United"
"6/2/2026","8.01pm","Charlton Athletic","v","Queens Park Rangers"
"7/2/2026","3.01pm","Birmingham City","v","Leicester City"
"7/2/2026","3.01pm","Coventry City","v","Oxford United"
"7/2/2026","12.31pm","Derby County","v","Ipswich Town"
"7/2/2026","3.01pm","Hull City","v","Bristol City"
"7/2/2026","12.31pm","Norwich City","v","Blackburn Rovers"
"7/2/2026","3.01pm","Preston North End","v","Portsmouth"
"7/2/2026","12.31pm","Southampton","v","Watford"
"7/2/2026","3.01pm","West Bromwich Albion","v","Stoke City"
"7/2/2026","3.01pm","Wrexham","v","Millwall"
"8/2/2026","12.01pm","Swansea City","v","Sheffield Wednesday"
"9/2/2026","8.01pm","Sheffield United","v","Middlesbrough"
"10/2/2026","8pm","Birmingham City","v","West Bromwich Albion"
"10/2/2026","7.45pm","Leicester City","v","Southampton"
"10/2/2026","7.45pm","Oxford United","v","Norwich City"
"11/2/2026","7.45pm","Charlton Athletic","v","Stoke City"
"13/2/2026","8pm","Bristol City","v","Wrexham"
"14/2/2026","3pm","Derby County","v","Swansea City"
"14/2/2026","3pm","Ipswich Town","v","Hull City"
"14/2/2026","3pm","Portsmouth","v","Sheffield United"
"14/2/2026","3pm","Preston North End","v","Watford"
"14/2/2026","3pm","Queens Park Rangers","v","Blackburn Rovers"
"14/2/2026","3pm","Sheffield Wednesday","v","Millwall"
"16/2/2026","8pm","Coventry City","v","Middlesbrough"
"17/2/2026","7.45pm","Charlton Athletic","v","Portsmouth"
"20/2/2026","8pm","Blackburn Rovers","v","Preston North End"
"21/2/2026","12.30pm","Hull City","v","Queens Park Rangers"
"21/2/2026","3pm","Middlesbrough","v","Oxford United"
"21/2/2026","3pm","Millwall","v","Portsmouth"
"21/2/2026","3pm","Norwich City","v","Birmingham City"
"21/2/2026","3pm","Southampton","v","Charlton Athletic"
"21/2/2026","12.30pm","Stoke City","v","Leicester City"
"21/2/2026","12.30pm","Swansea City","v","Bristol City"
"21/2/2026","3pm","Watford","v","Derby County"
"21/2/2026","12.30pm","West Bromwich Albion","v","Coventry City"
"21/2/2026","3pm","Wrexham","v","Ipswich Town"
"22/2/2026","12pm","Sheffield United","v","Sheffield Wednesday"
"24/2/2026","7.45pm","Blackburn Rovers","v","Bristol City"
"24/2/2026","7.45pm","Hull City","v","Derby County"
"24/2/2026","7.45pm","Middlesbrough","v","Leicester City"
"24/2/2026","8pm","Southampton","v","Queens Park Rangers"
"24/2/2026","7.45pm","Swansea City","v","Preston North End"
"24/2/2026","7.45pm","Watford","v","Ipswich Town"
"24/2/2026","7.45pm","West Bromwich Albion","v","Charlton Athletic"
"24/2/2026","7.45pm","Wrexham","v","Portsmouth"
"25/2/2026","7.45pm","Millwall","v","Birmingham City"
"25/2/2026","7.45pm","Norwich City","v","Sheffield Wednesday"
"25/2/2026","7.45pm","Sheffield United","v","Coventry City"
"25/2/2026","8pm","Stoke City","v","Oxford United"
"27/2/2026","8pm","Bristol City","v","Watford"
"28/2/2026","3pm","Charlton Athletic","v","Wrexham"
"28/2/2026","3pm","Coventry City","v","Stoke City"
"28/2/2026","12.30pm","Derby County","v","Blackburn Rovers"
"28/2/2026","3pm","Ipswich Town","v","Swansea City"
"28/2/2026","12.30pm","Leicester City","v","Norwich City"
"28/2/2026","3pm","Oxford United","v","West Bromwich Albion"
"28/2/2026","12.30pm","Portsmouth","v","Hull City"
"28/2/2026","3pm","Preston North End","v","Millwall"
"28/2/2026","3pm","Queens Park Rangers","v","Sheffield United"
"28/2/2026","3pm","Sheffield Wednesday","v","Southampton"
