Date,Status,Home,Score,Away,Attd
30/01/2026,8pm,Bristol City,v,Derby County,
31/01/2026,3pm,Blackburn Rovers,v,Hull City,
31/01/2026,3pm,Ipswich Town,v,Preston North End,
31/01/2026,12.30pm,Leicester City,v,Charlton Athletic,
31/01/2026,3pm,Middlesbrough,v,Norwich City,
31/01/2026,3pm,Millwall,v,Sheffield United,
31/01/2026,3pm,Oxford United,v,Birmingham City,
31/01/2026,3pm,Portsmouth,v,West Bromwich Albion,
31/01/2026,3pm,Queens Park Rangers,v,Coventry City,
31/01/2026,12.30pm,Sheffield Wednesday,v,Wrexham,
31/01/2026,12.30pm,Stoke City,v,Southampton,
31/01/2026,3pm,Watford,v,Swansea City,
