"Date","Status","Home","","Away"
"2/3/2026","8pm","Birmingham City","v","Middlesbrough"
"7/3/2026","3pm","Blackburn Rovers","v","Portsmouth"
"7/3/2026","3pm","Bristol City","v","Coventry City"
"7/3/2026","3pm","Charlton Athletic","v","Birmingham City"
"7/3/2026","3pm","Derby County","v","Sheffield Wednesday"
"7/3/2026","3pm","Hull City","v","Millwall"
"7/3/2026","3pm","Ipswich Town","v","Leicester City"
"7/3/2026","3pm","Preston North End","v","Oxford United"
"7/3/2026","3pm","Queens Park Rangers","v","Middlesbrough"
"7/3/2026","3pm","Sheffield United","v","West Bromwich Albion"
"7/3/2026","3pm","Southampton","v","Norwich City"
"7/3/2026","3pm","Swansea City","v","Stoke City"
"7/3/2026","3pm","Watford","v","Wrexham"
"10/3/2026","7.45pm","Birmingham City","v","Queens Park Rangers"
"10/3/2026","7.45pm","Leicester City","v","Bristol City"
"10/3/2026","7.45pm","Millwall","v","Derby County"
"10/3/2026","7.45pm","Norwich City","v","Sheffield United"
"10/3/2026","7.45pm","Portsmouth","v","Swansea City"
"10/3/2026","7.45pm","Sheffield Wednesday","v","Watford"
"10/3/2026","7.45pm","Stoke City","v","Ipswich Town"
"10/3/2026","7.45pm","Wrexham","v","Hull City"
"11/3/2026","7.45pm","Coventry City","v","Preston North End"
"11/3/2026","7.45pm","Middlesbrough","v","Charlton Athletic"
"11/3/2026","7.45pm","Oxford United","v","Blackburn Rovers"
"11/3/2026","7.45pm","West Bromwich Albion","v","Southampton"
"14/3/2026","3pm","Birmingham City","v","Sheffield United"
"14/3/2026","3pm","Coventry City","v","Southampton"
"14/3/2026","3pm","Leicester City","v","Queens Park Rangers"
"14/3/2026","3pm","Middlesbrough","v","Bristol City"
"14/3/2026","3pm","Millwall","v","Blackburn Rovers"
"14/3/2026","3pm","Norwich City","v","Preston North End"
"14/3/2026","3pm","Oxford United","v","Charlton Athletic"
"14/3/2026","3pm","Portsmouth","v","Derby County"
"14/3/2026","3pm","Sheffield Wednesday","v","Ipswich Town"
"14/3/2026","3pm","Stoke City","v","Watford"
"14/3/2026","3pm","West Bromwich Albion","v","Hull City"
"14/3/2026","3pm","Wrexham","v","Swansea City"
"21/3/2026","3pm","Blackburn Rovers","v","Middlesbrough"
"21/3/2026","3pm","Bristol City","v","West Bromwich Albion"
"21/3/2026","3pm","Charlton Athletic","v","Norwich City"
"21/3/2026","3pm","Derby County","v","Birmingham City"
"21/3/2026","3pm","Hull City","v","Sheffield Wednesday"
"21/3/2026","3pm","Ipswich Town","v","Millwall"
"21/3/2026","3pm","Preston North End","v","Stoke City"
"21/3/2026","3pm","Queens Park Rangers","v","Portsmouth"
"21/3/2026","3pm","Sheffield United","v","Wrexham"
"21/3/2026","3pm","Southampton","v","Oxford United"
"21/3/2026","3pm","Swansea City","v","Coventry City"
"21/3/2026","3pm","Watford","v","Leicester City"
